Faixa Etária,Faixa Hora Contrat,Faixa Tempo Emprego,Escolaridade após 2005,Ind Portador Defic,Raça Cor,Vl Remun Dezembro Nom,Sexo Trabalhador,Tamanho Estabelecimento,Diretor TI,Gerente Infraestrutura TI,Gerente Desenvolvimento Sistemas,Gerente Operação TI,Gerente Projetos TI,Gerente Segurança Informação,Gerente Suporte Técnico TI,Tecnólogo Gestão TI,Engenheiro Aplicativos Computação,Engenheiro Equip Computação,Engenheiro Sist Oper Computação,Administrador Banco Dados,Administrador Redes,Administrador Sist Operacionais,Administrador Segur Informação,Analista Desenvolv Sistemas,Analista Redes Comunic Dados,Analista Sistemas Automação,Analista Suporte Computacional
2,5,1,5,0,1,1583.51,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,5,7,5,0,1,6040.43,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,5,0,5,0,1,1210.33,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,6,5,0,1,2293.6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,5,5,0,1,3785.57,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,0,5,1,1,2428.32,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,6,5,0,1,11727.37,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,5,3,5,0,1,1376.29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,5,5,1,1,1543.08,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,7,5,0,1,2886.19,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,5,5,5,0,1,1546.27,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,6,5,0,1,18453.89,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,5,5,5,0,1,3421.75,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
